Date,NO2,CO,PM2.5,PM10,SO2,O3
2025-11-01,27.1,0.5,8.6,16.0,1.5,0.038
2025-11-02,21.1,0.4,5.4,10.0,1.3,0.032
2025-11-03,28.4,0.4,5.550000000000001,13.0,0.3,0.027
2025-11-04,33.1,0.5,11.5,34.0,3.0,0.039
2025-11-05,,0.6,16.9,51.0,,0.047
2025-11-06,44.7,0.6,21.25,47.0,10.4,0.055
2025-11-07,35.0,0.5,12.3,24.0,1.8,0.031
2025-11-08,21.5,0.4,7.9,14.0,1.0,0.031
2025-11-09,16.8,0.4,6.55,13.0,0.5,0.029
2025-11-10,13.0,0.2,4.3,9.0,0.3,0.03
2025-11-11,29.9,0.2,4.8,13.0,0.7,0.031
2025-11-12,38.9,0.6,8.2,23.0,1.4,0.038
2025-11-13,,0.6,18.1,40.0,,0.045
2025-11-14,,0.7,17.3,44.0,,0.046
2025-11-15,,0.7,15.4,31.0,1.6,0.043
2025-11-16,,0.3,8.6,24.0,0.5,0.037
2025-11-17,,0.4,7.0,27.0,5.8,0.04
2025-11-18,43.4,0.4,18.9,42.0,2.2,0.038
2025-11-19,23.8,0.5,10.5,22.0,0.9,0.019
2025-11-20,37.3,0.6,15.2,34.0,1.2,0.027
2025-11-21,22.3,0.6,10.2,22.0,1.1,0.025
2025-11-22,41.7,0.4,9.7,19.0,1.1,0.031
2025-11-23,38.3,0.4,7.4,15.0,0.7,0.028
2025-11-24,,0.4,14.25,49.0,,0.034
2025-11-25,25.7,0.5,6.3,17.0,1.8,0.02
2025-11-26,15.0,0.5,4.1,9.0,0.5,0.032
2025-11-27,16.7,0.2,2.65,5.0,0.4,0.036
2025-11-28,24.9,0.3,5.4,10.0,0.6,0.037
2025-11-29,24.7,0.3,7.1,15.0,1.5,0.035
2025-11-30,7.1,0.2,5.25,10.0,1.0,0.018
2025-12-01,18.6,0.2,7.6,11.0,1.8,0.015
2025-12-02,7.8,0.2,3.7,5.0,0.5,0.025
2025-12-03,22.6,0.3,10.399999999999999,18.0,10.1,0.023
2025-12-04,23.6,0.4,16.9,30.0,4.1,0.018
2025-12-05,8.2,0.2,5.6,8.0,0.4,0.017
2025-12-06,16.0,0.4,8.65,15.0,2.5,0.016
2025-12-07,7.5,0.4,9.0,13.0,1.9,0.02
2025-12-08,10.7,0.2,10.9,15.0,0.4,0.021
2025-12-09,27.4,0.4,12.5,22.0,1.1,0.02
2025-12-10,17.9,0.3,9.4,19.0,2.2,0.027
2025-12-11,34.7,0.4,6.7,16.0,1.2,0.03
2025-12-12,32.6,0.6,9.350000000000001,27.0,1.8,0.037
2025-12-13,26.3,0.7,17.7,33.0,3.3,0.038
2025-12-14,3.6,0.3,6.2,9.0,0.3,0.037
2025-12-15,37.3,0.6,8.95,22.0,2.2,0.028
2025-12-16,,0.7,18.3,42.0,,0.028
2025-12-17,36.6,0.7,21.2,51.0,5.7,0.03
2025-12-18,28.6,0.5,6.949999999999999,13.0,1.3,0.031
2025-12-19,25.3,0.4,5.9,18.0,1.0,0.03
2025-12-20,22.6,0.5,11.7,24.0,3.5,0.034
2025-12-21,20.3,0.3,7.8,14.0,1.5,0.028
2025-12-22,16.9,0.2,6.3,16.0,0.1,0.035
2025-12-23,29.2,0.6,12.0,29.0,1.9,0.034
2025-12-24,21.6,0.7,18.700000000000003,34.0,2.3,0.031
2025-12-25,17.0,0.8,12.2,18.0,0.6,0.025
2025-12-26,11.9,0.7,8.2,15.0,0.9,0.02
2025-12-27,16.7,0.3,7.9,13.0,0.2,0.017
2025-12-28,10.5,0.3,5.4,10.0,0.2,0.025
2025-12-29,4.0,0.1,2.6,6.0,0.1,0.035
2025-12-30,19.7,0.2,3.6500000000000004,8.0,0.1,0.03
2025-12-31,32.0,0.6,7.6,20.0,0.7,0.031
